,employeenumber,attrition,businesstravel,jobrole,department,joblevel,overtime,remotework,distancefromhome,numcompaniesworked,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,stockoptionlevel
657,658,no,non travel, research director ,unknown,5,no,no,2,3,3,5,4,3,0
658,659,no,non travel, laboratory technician ,unknown,1,no,yes,9,1,3,5,0,2,0
659,660,no,non travel, sales executive ,unknown,2,no,no,3,2,5,5,0,4,1
660,661,no,non travel, research scientist ,unknown,1,no,yes,41,1,3,5,0,4,0
661,662,no,non travel, manufacturing director ,unknown,2,no,yes,5,0,2,9,1,7,0
662,663,yes,travel rarely, sales representative ,unknown,1,no,no,9,7,4,5,0,3,0
663,664,no,travel rarely, research scientist ,unknown,1,no,no,2,1,3,5,1,4,2
664,665,no,travel frequently, sales executive ,unknown,2,no,no,18,2,3,5,1,3,2
665,666,no,non travel, sales executive , sales ,2,no,no,1,5,2,4,1,3,1
666,667,no,non travel, laboratory technician ,unknown,2,no,yes,29,1,2,10,9,9,0
667,668,no,non travel, research director ,unknown,5,no,no,7,5,2,27,13,8,1
668,669,no,travel frequently, sales executive ,unknown,2,no,no,1,7,2,4,1,3,0
669,670,no,travel frequently, healthcare representative ,unknown,4,no,no,1,1,3,22,11,11,1
670,671,no,travel rarely, research director ,unknown,3,no,no,2,9,5,4,0,3,1
671,672,no,non travel, research director ,unknown,5,yes,yes,47,3,1,8,0,7,0
672,673,no,non travel, manager ,unknown,4,no,yes,26,2,3,5,4,4,0
673,674,no,non travel, laboratory technician ,unknown,1,no,yes,18,0,2,5,1,2,1
674,675,no,travel rarely, sales executive ,unknown,3,no,yes,3,2,3,5,1,3,0
675,676,no,travel rarely, laboratory technician ,unknown,1,no,yes,2,0,3,5,1,2,0
676,677,no,travel frequently, sales representative ,unknown,1,no,no,10,6,3,4,1,2,1
677,678,no,travel rarely, healthcare representative , research & development ,3,no,yes,24,3,2,5,1,4,1
678,679,no,travel rarely, sales executive ,unknown,2,no,no,1,4,2,8,0,7,0
679,680,yes,travel rarely, sales representative ,unknown,1,yes,yes,20,1,5,4,0,2,0
680,681,no,non travel, manufacturing director ,unknown,2,no,no,21,2,5,5,0,2,1
681,682,no,non travel, research scientist ,unknown,1,yes,yes,10,1,4,5,2,0,1
682,683,yes,non travel, sales executive ,unknown,2,no,yes,26,5,5,6,0,1,0
683,684,yes,travel rarely, research scientist ,unknown,1,no,yes,13,1,3,4,0,1,0
684,685,no,non travel, sales representative ,unknown,1,no,no,4,2,5,4,1,2,1
685,686,no,non travel, healthcare representative ,unknown,2,no,yes,5,1,2,6,1,5,2
686,687,no,non travel, research director ,unknown,4,yes,yes,3,3,5,5,1,3,3
687,688,no,non travel, healthcare representative , research & development ,2,no,yes,11,1,3,5,3,3,1
688,689,no,non travel, research scientist ,unknown,1,no,yes,8,1,3,5,0,2,0
689,690,no,travel rarely, healthcare representative ,unknown,2,no,yes,16,0,2,8,0,7,0
690,691,no,non travel, healthcare representative , research & development ,2,yes,yes,1,2,2,5,1,2,1
691,692,no,travel rarely, research scientist ,unknown,1,no,yes,5,1,2,4,1,2,0
692,693,no,travel frequently, research scientist ,unknown,2,no,no,20,3,4,4,0,3,0
693,694,no,travel rarely, sales executive ,unknown,2,no,yes,45,2,2,4,0,2,3
694,695,no,non travel, sales executive ,unknown,2,no,yes,2,1,3,4,0,2,1
695,696,no,travel rarely, healthcare representative ,unknown,3,no,no,10,6,2,4,1,3,0
696,697,yes,travel rarely, sales representative ,unknown,1,yes,yes,1,1,4,5,1,4,0
697,698,no,non travel, laboratory technician , research & development ,1,no,no,37,4,3,5,1,4,1
698,699,no,non travel, research scientist ,unknown,1,no,yes,2,3,3,7,5,7,1
699,700,yes,travel rarely, laboratory technician ,unknown,1,no,no,10,7,2,4,1,3,3
700,701,no,non travel, sales executive ,unknown,3,no,yes,30,1,3,10,9,7,0
701,702,no,non travel, sales executive , sales ,2,no,yes,10,7,3,14,1,10,0
702,703,no,travel frequently, laboratory technician ,unknown,1,no,yes,8,1,3,8,0,7,1
703,704,no,travel rarely, sales executive ,unknown,2,no,yes,28,1,5,5,1,4,2
704,705,yes,travel frequently, laboratory technician , research & development ,1,no,yes,7,1,4,6,1,2,1
705,706,no,non travel, research scientist , research & development ,1,no,yes,6,0,5,5,0,3,2
706,707,yes,travel rarely, sales representative ,unknown,1,no,yes,2,0,3,4,0,2,1
707,708,yes,non travel, sales executive , sales ,2,no,no,8,3,4,4,1,3,1
708,709,no,travel rarely, laboratory technician ,unknown,1,no,yes,49,1,2,4,0,2,1
709,710,no,travel rarely, human resources ,unknown,2,no,no,24,9,3,8,3,6,1
710,711,no,non travel, research scientist ,unknown,1,no,yes,19,0,3,4,1,2,1
711,712,yes,non travel, sales executive ,unknown,2,no,yes,8,6,2,4,1,2,0
712,713,no,non travel, manufacturing director ,unknown,2,yes,yes,19,9,4,5,1,4,2
713,714,no,travel rarely, research scientist ,unknown,1,yes,no,10,0,3,5,4,3,2
714,715,no,travel rarely, research director , research & development ,4,no,no,2,5,3,4,0,3,0
715,716,no,non travel, manufacturing director ,unknown,2,no,no,1,9,4,4,0,2,1
716,717,no,travel frequently, healthcare representative , research & development ,2,no,no,12,2,3,4,1,2,1
717,718,no,travel rarely, research scientist ,unknown,1,no,no,2,7,3,4,0,1,0
718,719,no,non travel, research scientist ,unknown,2,no,yes,8,5,3,5,1,3,1
719,720,no,non travel, sales executive ,unknown,2,yes,yes,3,1,3,5,0,3,0
720,721,no,non travel, laboratory technician ,unknown,2,yes,yes,3,2,1,5,1,3,1
721,722,no,non travel, human resources ,unknown,1,yes,no,3,3,4,4,0,3,1
722,723,no,travel rarely, laboratory technician ,unknown,1,no,no,7,6,5,4,0,3,3
723,724,no,non travel, sales executive ,unknown,2,yes,yes,10,1,1,5,1,3,0
724,725,no,travel rarely, laboratory technician , research & development ,1,no,no,1,3,2,5,0,2,2
725,726,no,travel frequently, manufacturing director ,unknown,2,no,no,1,1,1,4,0,3,1
726,727,no,non travel, laboratory technician , research & development ,1,no,yes,8,1,3,4,1,1,1
727,728,no,travel rarely, manufacturing director ,unknown,4,no,no,2,3,4,5,4,3,0
728,729,no,non travel, manager , sales ,4,no,no,11,3,4,9,1,1,1
729,730,no,travel rarely, human resources ,unknown,1,no,yes,24,1,3,6,0,4,0
730,731,no,travel rarely, healthcare representative ,unknown,2,no,yes,3,3,3,4,0,1,0
731,732,no,non travel, research scientist ,unknown,1,no,no,26,1,5,5,1,3,2
732,733,no,non travel, laboratory technician ,unknown,1,no,yes,1,1,2,5,1,3,2
733,734,no,non travel, research scientist ,unknown,1,no,yes,42,0,2,5,0,4,0
734,735,no,non travel, laboratory technician ,unknown,1,no,no,24,8,2,4,1,2,0
735,736,no,travel rarely, sales executive ,unknown,2,no,no,10,1,3,10,1,4,1
736,737,yes,non travel, sales executive ,unknown,2,no,yes,9,8,2,4,1,3,0
737,738,no,travel rarely, sales executive ,unknown,2,no,no,29,8,3,4,0,3,3
738,739,no,travel rarely, manufacturing director ,unknown,2,no,yes,2,2,3,6,1,4,1
739,740,no,non travel, human resources , human resources ,2,no,yes,2,7,3,4,0,3,1
740,741,no,non travel, sales executive ,unknown,2,no,no,10,0,4,4,1,1,0
741,742,no,non travel, research scientist ,unknown,1,no,yes,4,1,2,5,0,3,3
742,743,no,travel rarely, manager ,unknown,5,no,no,8,6,4,7,7,7,0
743,744,no,travel frequently, sales executive , sales ,2,no,yes,1,0,2,9,1,7,1
744,745,no,non travel, sales executive ,unknown,2,no,yes,26,1,0,5,0,4,1
745,746,no,travel frequently, manufacturing director ,unknown,4,no,yes,28,2,3,5,0,2,1
746,747,no,travel rarely, research scientist ,unknown,1,no,yes,2,0,2,4,1,1,0
747,748,yes,travel frequently, laboratory technician ,unknown,2,no,yes,28,3,2,4,1,3,0
748,749,no,travel frequently, research scientist ,unknown,1,no,yes,1,5,2,4,1,3,2
749,750,no,non travel, sales executive ,unknown,2,no,yes,7,4,3,4,0,3,1
750,751,no,non travel, sales executive ,unknown,2,no,no,7,0,2,4,0,3,2
751,752,yes,non travel, sales executive , sales ,2,no,no,13,5,4,5,0,0,0
752,753,no,non travel, human resources ,unknown,1,no,no,16,0,3,5,1,3,1
753,754,no,non travel, laboratory technician , research & development ,2,no,no,11,0,2,4,1,2,0
754,755,no,non travel, manufacturing director ,unknown,2,no,yes,25,1,2,5,0,2,0
755,756,no,non travel, sales representative ,unknown,1,no,yes,28,0,5,5,4,2,2
756,757,no,travel frequently, human resources ,unknown,2,no,yes,10,3,2,6,1,2,0
757,758,no,non travel, manufacturing director ,unknown,2,no,yes,27,0,5,5,0,0,1
758,759,no,non travel, manufacturing director ,unknown,2,no,no,19,3,2,4,0,2,3
759,760,no,non travel, research scientist , research & development ,1,no,no,2,1,2,6,1,3,0
760,761,no,non travel, laboratory technician ,unknown,1,no,yes,7,2,4,4,1,3,0
761,762,no,travel frequently, laboratory technician ,unknown,1,no,no,2,1,3,4,3,3,0
762,763,no,travel rarely, healthcare representative ,unknown,3,no,no,24,3,2,4,1,2,0
763,764,no,travel frequently, sales executive ,unknown,2,no,yes,1,1,2,6,1,3,2
764,765,no,non travel, research scientist , research & development ,1,no,yes,12,1,1,5,0,4,1
765,766,no,travel rarely, laboratory technician ,unknown,1,no,no,9,9,2,5,1,2,1
766,767,no,travel rarely, sales executive ,unknown,3,no,no,19,3,2,4,0,2,1
767,768,no,travel rarely, laboratory technician ,unknown,1,no,yes,12,8,6,5,0,4,3
768,769,no,non travel, laboratory technician ,unknown,1,no,yes,9,1,2,5,0,4,2
769,770,yes,non travel, research scientist ,unknown,1,yes,yes,1,1,2,5,2,3,3
770,771,no,travel rarely, research scientist ,unknown,1,no,yes,1,1,6,5,0,3,1
771,772,no,non travel, research director , research & development ,3,no,yes,10,7,3,4,2,2,0
772,773,no,non travel, laboratory technician ,unknown,1,no,yes,2,4,5,4,0,2,1
773,774,yes,travel rarely, manufacturing director ,unknown,2,no,yes,10,1,4,10,0,8,0
774,775,no,non travel, healthcare representative ,unknown,2,no,yes,1,4,3,5,0,3,1
775,776,no,travel rarely, sales executive , sales ,2,no,no,10,1,4,5,1,2,0
776,777,no,non travel, research scientist ,unknown,1,no,no,10,3,1,6,3,3,2
777,778,no,travel rarely, sales executive ,unknown,3,yes,yes,4,2,3,5,1,0,3
778,779,no,travel rarely, research scientist ,unknown,2,no,yes,7,5,2,5,0,4,1
779,780,no,non travel, research scientist ,unknown,1,no,no,2,1,3,5,1,2,1
780,781,no,travel rarely, sales executive ,unknown,2,no,yes,18,0,2,5,0,4,1
781,782,no,non travel, research scientist ,unknown,1,no,yes,16,1,3,5,1,4,0
782,783,no,non travel, healthcare representative ,unknown,2,no,no,1,0,5,5,0,2,1
783,784,no,non travel, research scientist , research & development ,2,no,no,9,3,6,4,2,3,2
784,785,no,travel rarely, healthcare representative ,unknown,2,no,yes,41,1,2,4,1,2,0
785,786,no,travel frequently, manufacturing director ,unknown,2,no,no,6,2,1,8,7,7,1
786,787,no,non travel, research scientist ,unknown,2,no,yes,18,6,3,4,1,2,1
787,788,no,non travel, research scientist ,unknown,1,no,yes,1,3,3,5,1,0,1
788,789,no,travel rarely, sales executive ,unknown,2,yes,yes,8,0,3,5,0,4,1
789,790,no,non travel, research scientist ,unknown,1,yes,yes,1,6,2,4,1,2,0
790,791,yes,non travel, sales executive ,unknown,2,no,yes,1,7,3,6,0,1,2
791,792,no,non travel, sales executive , sales ,2,no,no,11,4,2,6,0,0,1
792,793,no,non travel, sales executive ,unknown,2,no,yes,20,8,3,5,0,1,0
793,794,no,non travel, research scientist ,unknown,1,no,yes,2,2,2,5,0,2,3
794,795,no,travel rarely, research scientist ,unknown,1,no,yes,1,1,5,4,1,1,1
795,796,no,travel rarely, laboratory technician ,unknown,2,no,no,13,4,2,4,0,3,1
796,797,no,non travel, laboratory technician ,unknown,2,no,yes,8,2,3,4,1,2,0
797,798,no,travel rarely, laboratory technician ,unknown,1,no,no,2,9,3,2,2,2,1
798,799,no,non travel, research scientist , research & development ,1,no,yes,26,1,1,5,4,3,1
799,800,no,travel rarely, laboratory technician ,unknown,1,no,yes,38,0,2,2,1,2,1
800,801,yes,travel rarely, laboratory technician , research & development ,1,yes,yes,24,5,4,4,0,3,0
801,802,no,travel rarely, research scientist ,unknown,1,yes,yes,5,0,5,6,0,5,2
802,803,no,non travel, research scientist , research & development ,1,yes,yes,2,5,3,3,1,2,0
803,804,no,non travel, manufacturing director ,unknown,2,no,yes,11,0,5,4,1,3,1
804,805,yes,non travel, research scientist ,unknown,1,no,yes,6,2,2,4,1,3,0
805,806,yes,travel frequently, research scientist , research & development ,1,no,no,16,1,5,10,6,7,0
806,807,no,travel rarely, manager ,unknown,5,no,no,2,3,2,2,2,1,0
807,808,no,non travel, healthcare representative ,unknown,2,no,no,10,2,5,4,1,3,0
808,809,yes,travel rarely, sales representative ,unknown,1,no,yes,3,1,2,3,0,2,0
809,810,no,non travel, sales representative ,unknown,1,no,yes,2,1,3,2,2,2,0
810,811,yes,non travel, laboratory technician ,unknown,1,yes,yes,5,1,3,2,2,2,0
811,812,no,non travel, sales executive ,unknown,2,yes,no,22,7,2,2,0,0,1
812,813,no,travel rarely, laboratory technician ,unknown,1,yes,no,31,3,3,2,2,2,1
813,814,no,non travel, research scientist ,unknown,1,no,yes,31,4,2,3,1,2,1
814,815,no,travel rarely, research director ,unknown,3,no,yes,20,4,3,5,0,2,0
815,816,no,travel rarely, human resources ,unknown,2,yes,yes,38,8,2,4,0,2,1
816,817,no,travel rarely, manufacturing director ,unknown,2,no,yes,1,1,2,5,1,3,0
817,818,no,travel rarely, laboratory technician ,unknown,1,no,yes,9,3,4,4,0,3,2
818,819,no,travel rarely, sales executive , sales ,2,no,yes,3,0,2,3,0,2,1
819,820,no,non travel, laboratory technician ,unknown,2,no,yes,23,4,3,3,1,2,1
820,821,yes,travel rarely, human resources ,unknown,1,no,yes,6,4,3,3,0,2,0
821,822,no,non travel, manager ,unknown,5,no,no,2,9,3,3,2,2,1
822,823,no,non travel, research scientist ,unknown,1,no,yes,7,1,2,2,2,1,2
823,824,no,non travel, research scientist ,unknown,1,no,yes,26,4,2,3,1,2,0
824,825,no,travel frequently, sales executive ,unknown,3,no,no,12,4,3,2,2,1,0
825,826,yes,travel rarely, sales executive ,unknown,2,yes,yes,20,3,2,2,2,2,1
826,827,no,non travel, manufacturing director , research & development ,2,no,no,6,6,0,3,0,1,2
827,828,yes,travel frequently, manufacturing director ,unknown,3,no,no,16,2,2,4,0,3,0
828,829,no,non travel, sales executive , sales ,2,no,no,28,2,3,2,2,2,0
829,830,no,travel rarely, research scientist ,unknown,2,yes,no,3,3,2,3,2,2,0
830,831,no,travel rarely, research scientist , research & development ,1,no,yes,5,5,3,3,2,2,1
831,832,no,non travel, research scientist ,unknown,1,no,yes,36,1,6,2,2,2,2
832,833,no,non travel, research scientist , research & development ,1,no,yes,9,6,1,2,2,2,1
833,834,no,non travel, research scientist , research & development ,1,no,yes,21,1,2,5,0,2,1
834,835,no,non travel, research scientist ,unknown,1,no,yes,17,0,3,5,1,1,1
835,836,no,travel rarely, research scientist ,unknown,1,no,yes,8,4,3,2,2,2,1
836,837,no,travel rarely, laboratory technician ,unknown,1,no,yes,9,1,3,2,2,1,0
837,838,no,travel rarely, research scientist ,unknown,1,no,yes,12,8,0,4,0,2,1
838,839,no,travel rarely, research scientist ,unknown,1,no,yes,27,2,3,3,1,2,0
839,840,no,non travel, laboratory technician , research & development ,1,no,no,1,2,2,3,0,2,1
840,841,no,non travel, manufacturing director ,unknown,2,no,no,13,1,3,4,1,3,2
841,842,no,travel frequently, laboratory technician ,unknown,2,no,yes,24,5,5,6,1,2,0
842,843,no,travel frequently, manufacturing director ,unknown,2,no,no,1,5,1,2,2,0,1
843,844,no,non travel, laboratory technician ,unknown,2,no,yes,38,8,2,7,3,7,1
844,845,no,non travel, research scientist ,unknown,1,no,no,22,1,2,4,2,2,1
845,846,no,non travel, healthcare representative ,unknown,2,no,yes,10,9,5,3,0,2,1
846,847,no,non travel, healthcare representative ,unknown,3,no,yes,1,7,3,4,0,3,1
847,848,yes,non travel, research scientist ,unknown,1,yes,yes,3,5,5,5,0,4,0
848,849,yes,non travel, research scientist ,unknown,1,no,no,1,0,1,6,1,5,0
849,850,no,non travel, sales executive ,unknown,2,no,no,3,2,4,6,0,5,1
850,851,no,travel rarely, research scientist , research & development ,1,no,yes,4,6,3,3,1,1,0
851,852,no,travel rarely, laboratory technician ,unknown,1,no,yes,2,7,3,2,2,2,0
852,853,no,travel rarely, human resources , human resources ,1,no,no,6,8,2,2,2,2,0
853,854,yes,non travel, laboratory technician ,unknown,1,no,yes,1,0,2,3,1,2,0
854,855,no,non travel, laboratory technician ,unknown,1,no,no,24,7,1,3,1,2,3
855,856,no,non travel, sales executive ,unknown,2,no,yes,26,0,2,3,2,2,0
856,857,no,non travel, research director ,unknown,3,no,yes,3,9,3,2,2,2,1
857,858,no,travel rarely, research scientist ,unknown,1,no,yes,5,1,2,2,0,2,1
858,859,no,non travel, manufacturing director ,unknown,2,no,yes,23,4,1,3,0,2,1
859,860,no,non travel, research scientist , research & development ,2,yes,yes,17,3,1,3,0,2,0
860,861,no,non travel, sales executive ,unknown,2,no,no,19,2,2,3,0,2,1
861,862,no,travel rarely, manufacturing director ,unknown,2,no,no,1,0,3,4,1,2,2
862,863,no,non travel, laboratory technician ,unknown,2,no,no,2,4,5,6,0,4,0
863,864,no,travel rarely, research scientist ,unknown,1,no,yes,9,1,3,5,0,4,1
864,865,no,travel rarely, research scientist ,unknown,1,no,no,3,1,4,3,1,0,0
865,866,no,non travel, research director ,unknown,3,yes,no,1,2,2,5,0,2,2
866,867,no,travel rarely, healthcare representative ,unknown,2,no,no,23,9,2,2,1,2,1
867,868,yes,travel rarely, laboratory technician ,unknown,1,yes,no,16,2,2,3,0,2,1
868,869,no,non travel, research director ,unknown,5,yes,yes,10,9,4,3,1,2,0
869,870,no,travel frequently, sales representative , sales ,1,no,yes,5,1,5,2,2,2,1
870,871,no,travel frequently, research scientist ,unknown,1,no,no,9,1,3,4,1,2,3
871,872,no,travel rarely, research scientist , research & development ,1,no,yes,11,0,4,5,0,3,1
872,873,no,travel rarely, human resources ,unknown,2,no,no,2,3,1,2,1,0,0
873,874,no,non travel, research scientist , research & development ,1,no,yes,2,0,2,2,2,2,1
874,875,yes,non travel, research scientist ,unknown,2,no,no,17,2,3,8,7,7,0
875,876,yes,non travel, research scientist ,unknown,1,yes,yes,2,5,4,3,2,2,0
876,877,no,travel rarely, research director ,unknown,5,no,no,5,4,2,3,1,1,1
877,878,no,non travel, laboratory technician ,unknown,1,no,yes,9,0,2,3,2,2,0
878,879,no,non travel, manufacturing director ,unknown,2,no,yes,5,7,2,6,0,4,2
879,880,no,non travel, research scientist ,unknown,1,no,no,26,1,2,4,0,2,2
880,881,no,travel rarely, human resources , human resources ,1,yes,no,2,0,5,3,1,0,1
881,882,no,non travel, sales executive , sales ,2,no,no,25,7,2,2,2,2,1
882,883,yes,non travel, sales representative ,unknown,1,no,yes,31,1,3,3,1,2,0
883,884,no,travel rarely, healthcare representative ,unknown,2,no,yes,1,2,2,3,1,2,0
884,885,no,non travel, sales representative ,unknown,1,no,yes,9,1,3,3,2,2,0
885,886,no,travel rarely, research scientist ,unknown,1,no,yes,9,0,5,2,2,2,0
886,887,no,non travel, research scientist , research & development ,1,no,no,17,9,4,3,1,2,0
887,888,no,travel rarely, laboratory technician ,unknown,1,no,yes,1,1,2,5,0,4,1
888,889,no,travel rarely, healthcare representative ,unknown,3,no,yes,7,8,2,5,0,0,0
889,890,no,travel rarely, research scientist ,unknown,1,no,yes,2,4,3,2,2,2,1
890,891,yes,non travel, sales executive ,unknown,2,yes,yes,19,8,3,5,0,4,0
891,892,no,non travel, sales executive ,unknown,2,yes,yes,10,1,2,5,0,3,1
892,893,no,non travel, laboratory technician ,unknown,1,no,yes,1,3,5,5,1,2,1
893,894,no,non travel, research director ,unknown,5,no,no,5,4,4,4,1,2,1
894,895,no,non travel, sales executive ,unknown,2,no,yes,4,9,3,3,1,2,1
895,896,no,non travel, laboratory technician ,unknown,1,no,yes,21,7,1,3,1,2,1
896,897,no,travel rarely, healthcare representative ,unknown,2,yes,yes,8,4,3,5,0,2,0
897,898,no,travel rarely, laboratory technician ,unknown,1,no,no,1,1,3,4,3,2,1
898,899,yes,travel rarely, laboratory technician ,unknown,1,no,yes,3,5,5,2,0,2,1
899,900,no,non travel, research scientist ,unknown,1,no,yes,10,3,3,2,0,2,2
900,901,no,travel rarely, manager ,unknown,4,no,no,4,2,2,5,1,4,0
901,902,yes,travel frequently, sales representative ,unknown,1,no,yes,6,0,3,2,1,0,1
902,903,no,travel rarely, research scientist ,unknown,1,no,yes,23,1,3,3,0,2,2
903,904,no,non travel, research director ,unknown,3,no,yes,3,1,2,10,0,7,0
904,905,yes,non travel, research scientist ,unknown,1,no,no,25,5,2,2,1,1,0
905,906,no,non travel, research director ,unknown,4,no,no,2,6,2,3,0,1,0
906,907,no,non travel, sales executive ,unknown,3,no,no,10,2,3,3,1,2,1
907,908,no,travel rarely, sales representative , sales ,1,no,yes,7,0,3,3,1,2,0
908,909,yes,travel frequently, human resources , human resources ,3,yes,no,23,9,2,3,0,2,3
909,910,no,non travel, laboratory technician ,unknown,1,no,yes,5,4,4,2,2,0,1
910,911,yes,non travel, laboratory technician , research & development ,1,no,yes,25,5,3,2,1,2,0
911,912,no,travel rarely, manufacturing director ,unknown,2,no,yes,19,4,2,3,1,2,2
912,913,no,travel frequently, healthcare representative , research & development ,3,no,yes,18,5,3,2,1,2,0
913,914,yes,non travel, sales executive , sales ,2,no,yes,11,8,2,4,1,2,0
914,915,no,non travel, sales representative ,unknown,1,no,no,24,0,3,2,2,1,2
915,916,no,travel rarely, laboratory technician ,unknown,2,no,no,25,4,3,3,0,2,0
916,917,no,non travel, healthcare representative ,unknown,2,no,yes,2,1,4,10,2,2,2
917,918,no,travel rarely, manager ,unknown,4,no,yes,1,7,3,3,0,2,1
918,919,no,travel rarely, human resources ,unknown,2,no,yes,1,4,1,2,0,2,0
919,920,no,non travel, sales representative , sales ,1,yes,yes,14,1,3,8,0,6,2
920,921,no,non travel, sales representative ,unknown,1,no,yes,22,1,2,3,1,2,0
921,922,no,travel rarely, manager ,unknown,5,no,yes,3,4,2,2,0,1,1
922,923,no,travel rarely, research scientist ,unknown,1,no,yes,6,0,3,2,2,2,0
923,924,no,travel rarely, laboratory technician ,unknown,1,yes,no,6,1,2,3,0,2,1
924,925,no,non travel, manufacturing director ,unknown,2,yes,yes,9,2,2,3,0,2,1
925,926,no,non travel, research scientist ,unknown,1,no,yes,3,0,0,4,1,1,0
926,927,no,travel rarely, research scientist ,unknown,1,no,no,4,2,3,3,0,2,1
927,928,no,non travel, sales executive ,unknown,2,no,no,8,0,4,3,1,2,1
928,929,no,non travel, sales executive ,unknown,2,no,yes,14,3,3,2,2,2,0
929,930,yes,travel rarely, sales executive ,unknown,2,no,yes,3,9,3,2,2,0,0
930,931,no,travel rarely, sales executive ,unknown,2,no,no,16,8,1,2,2,2,0
931,932,no,non travel, sales representative ,unknown,1,no,yes,8,7,2,2,2,2,1
932,933,no,non travel, laboratory technician ,unknown,1,no,no,24,2,5,5,1,4,0
933,934,no,travel frequently, sales executive ,unknown,4,yes,yes,3,9,2,22,11,13,2
934,935,yes,non travel, research scientist ,unknown,1,no,yes,19,6,2,2,2,2,0
935,936,no,travel frequently, sales executive ,unknown,2,no,yes,15,3,5,2,2,2,1
936,937,no,non travel, research scientist ,unknown,1,no,no,2,0,2,4,2,3,0
937,938,no,non travel, sales representative , sales ,1,no,no,10,1,2,2,2,2,2
938,939,no,non travel, laboratory technician ,unknown,2,no,no,6,2,4,2,2,2,0
939,940,no,travel rarely, research scientist , research & development ,1,no,no,12,1,3,2,0,2,0
940,941,yes,non travel, manager ,unknown,5,yes,no,2,5,2,5,1,4,1
941,942,no,travel frequently, laboratory technician ,unknown,1,no,yes,1,3,2,2,2,0,1
942,943,no,travel rarely, research scientist ,unknown,1,no,no,1,2,2,4,1,3,0
943,944,no,non travel, sales executive ,unknown,2,no,yes,8,0,3,4,1,1,1
944,945,no,travel rarely, sales representative ,unknown,1,no,yes,8,1,1,3,0,2,1
945,946,no,travel rarely, laboratory technician ,unknown,1,no,yes,18,3,2,2,0,2,2
946,947,no,non travel, sales executive ,unknown,2,no,yes,8,5,1,3,1,2,1
947,948,no,travel rarely, laboratory technician , research & development ,2,no,yes,25,8,3,5,1,4,1
948,949,yes,travel rarely, sales executive ,unknown,2,no,no,16,5,3,3,0,2,0
949,950,no,travel rarely, research scientist , research & development ,1,no,no,20,3,0,2,2,2,0
950,951,yes,non travel, research scientist ,unknown,1,no,yes,2,6,3,2,2,1,0
951,952,no,travel rarely, human resources ,unknown,1,no,yes,13,4,2,5,0,4,1
952,953,no,travel frequently, research scientist , research & development ,1,no,yes,16,1,3,5,1,3,0
953,954,no,non travel, human resources ,unknown,1,no,no,3,0,1,3,0,2,1
954,955,no,travel rarely, healthcare representative ,unknown,2,no,yes,4,9,2,5,2,3,0
955,956,no,non travel, sales executive ,unknown,2,no,yes,13,2,3,5,0,3,1
956,957,no,non travel, sales executive ,unknown,3,yes,no,7,7,3,5,0,4,1
957,958,no,non travel, manufacturing director ,unknown,2,no,no,1,6,2,2,2,2,2
958,959,no,travel rarely, laboratory technician ,unknown,1,yes,no,8,2,2,3,0,2,1
959,960,yes,travel frequently, research scientist ,unknown,1,no,yes,25,1,3,10,7,8,1
960,961,no,non travel, sales executive ,unknown,2,no,no,4,1,1,5,0,3,0
961,962,no,travel rarely, research scientist ,unknown,1,no,no,1,2,2,4,0,2,1
962,963,no,non travel, laboratory technician ,unknown,1,no,no,19,0,2,5,3,4,0
963,964,no,travel rarely, sales representative , sales ,1,no,yes,9,0,3,2,1,2,1
964,965,yes,travel rarely, sales representative ,unknown,1,yes,no,1,6,3,3,0,2,3
965,966,no,travel frequently, healthcare representative ,unknown,2,no,yes,1,4,2,5,2,2,1
966,967,no,travel rarely, sales executive ,unknown,2,no,no,5,1,3,4,0,2,0
967,968,yes,travel rarely, sales representative ,unknown,1,no,yes,2,1,3,2,0,2,0
968,969,no,non travel, sales representative ,unknown,1,yes,yes,2,1,3,3,1,2,0
969,970,yes,travel rarely, manufacturing director ,unknown,2,yes,yes,3,0,3,3,0,2,1
970,971,no,non travel, research scientist ,unknown,1,no,yes,9,5,2,2,2,2,1
971,972,yes,non travel, laboratory technician , research & development ,1,no,yes,6,7,2,2,2,2,0
972,973,no,travel rarely, research scientist , research & development ,1,no,no,1,3,1,3,0,2,0
973,974,no,travel rarely, research scientist , research & development ,1,no,yes,7,2,6,6,0,1,0
974,975,no,travel rarely, sales executive ,unknown,2,no,yes,48,1,3,5,1,0,0
975,976,yes,non travel, research scientist ,unknown,1,yes,no,9,0,0,3,1,2,0
976,977,no,travel rarely, research scientist ,unknown,1,no,no,13,3,4,3,0,2,0
977,978,no,non travel, laboratory technician ,unknown,1,no,no,24,9,2,2,2,2,1
978,979,yes,travel rarely, research scientist ,unknown,1,no,yes,22,4,2,5,0,1,0
979,980,no,non travel, manufacturing director ,unknown,2,no,no,17,1,6,4,3,2,2
980,981,yes,travel rarely, laboratory technician , research & development ,1,yes,no,14,1,2,4,0,2,1
981,982,yes,non travel, laboratory technician ,unknown,1,no,yes,5,0,3,3,1,2,0
982,983,no,travel rarely, healthcare representative , research & development ,2,no,yes,6,2,0,2,2,2,0
983,984,no,travel rarely, manufacturing director ,unknown,2,no,no,7,6,6,2,2,1,0
984,985,no,non travel, manufacturing director , research & development ,2,no,yes,2,0,2,3,2,2,1
