,employeenumber,environmentsatisfaction,relationshipsatisfaction,jobsatisfaction,jobinvolvement,performancerating,worklifebalance
1491,1492,1.0,1,1,3,3,3
1492,1493,3.0,3,3,3,3,2
1493,1494,3.0,3,4,2,3,3
1494,1495,4.0,3,3,2,3,3
1495,1496,4.0,2,4,2,3,4
1496,1497,4.0,4,1,3,3,3
1497,1498,1.0,3,3,3,3,3
1498,1499,2.0,2,4,3,3,3
1499,1500,1.0,1,4,2,3,3
1500,1501,3.0,4,4,3,3,3
1501,1502,2.0,3,4,3,3,3
1502,1503,4.0,2,3,3,3,3
1503,1504,4.0,4,2,3,4,4
1504,1505,4.0,2,3,3,4,4
1505,1506,1.0,3,4,3,4,3
1506,1507,3.0,3,2,3,4,3
1507,1508,1.0,1,1,3,3,3
1508,1509,1.0,2,3,4,3,2
1509,1510,3.0,2,1,3,3,4
1510,1511,3.0,1,4,4,3,3
1511,1512,3.0,3,4,2,3,3
1512,1513,3.0,3,4,3,3,3
1513,1514,1.0,4,1,2,3,3
1514,1515,3.0,2,4,3,3,1
1515,1516,3.0,1,2,2,3,2
1516,1517,1.0,4,4,1,3,2
1517,1518,4.0,2,3,3,3,3
1518,1519,2.0,3,4,2,3,3
1519,1520,4.0,3,4,3,3,2
1520,1521,3.0,3,4,3,3,2
1521,1522,3.0,3,3,3,3,3
1522,1523,4.0,2,3,3,3,4
1523,1524,1.0,3,2,2,3,3
1524,1525,4.0,3,3,3,3,3
1525,1526,1.0,3,4,3,4,2
1526,1527,3.0,4,2,2,3,3
1527,1528,4.0,4,4,3,3,3
1528,1529,4.0,2,2,3,3,3
1529,1530,2.0,3,3,2,4,3
1530,1531,4.0,2,3,3,3,3
1531,1532,1.0,2,4,4,3,2
1532,1533,4.0,4,3,3,3,4
1533,1534,2.0,2,1,3,3,3
1534,1535,1.0,3,1,3,3,2
1535,1536,3.0,1,3,3,3,3
1536,1537,4.0,1,4,3,4,3
1537,1538,3.0,4,3,3,3,3
1538,1539,4.0,3,1,2,3,3
1539,1540,1.0,3,1,3,3,3
1540,1541,1.0,4,4,3,3,2
1541,1542,3.0,2,4,3,3,3
1542,1543,1.0,4,2,3,3,2
1543,1544,2.0,2,2,4,3,2
1544,1545,2.0,1,4,3,3,3
1545,1546,4.0,4,4,3,3,3
1546,1547,4.0,2,4,2,3,3
1547,1548,2.0,2,4,4,3,2
1548,1549,3.0,1,4,3,3,3
1549,1550,4.0,4,4,3,3,3
1550,1551,1.0,3,4,4,3,2
1551,1552,2.0,3,4,2,3,2
1552,1553,3.0,2,3,2,3,4
1553,1554,2.0,4,1,1,3,2
1554,1555,2.0,1,2,3,3,3
1555,1556,4.0,1,2,2,3,3
1556,1557,3.0,1,1,4,3,3
1557,1558,3.0,2,3,3,3,3
1558,1559,4.0,3,3,4,3,3
1559,1560,1.0,3,2,3,3,3
1560,1561,4.0,3,4,3,3,2
1561,1562,4.0,3,1,3,3,2
1562,1563,3.0,4,1,4,3,2
1563,1564,2.0,3,1,4,3,3
1564,1565,3.0,3,3,3,3,2
1565,1566,3.0,3,4,3,3,2
1566,1567,4.0,3,3,3,3,3
1567,1568,2.0,1,4,3,3,3
1568,1569,4.0,2,2,3,3,4
1569,1570,2.0,2,3,3,3,3
1570,1571,1.0,1,3,2,3,3
1571,1572,4.0,4,4,4,3,3
1572,1573,1.0,4,4,4,4,4
1573,1574,4.0,2,3,3,3,3
1574,1575,4.0,4,1,3,4,4
1575,1576,3.0,3,3,3,3,3
1576,1577,3.0,3,2,3,3,4
1577,1578,4.0,1,4,2,3,3
1578,1579,2.0,4,4,1,3,3
1579,1580,4.0,2,2,2,3,4
1580,1581,4.0,1,3,2,3,3
1581,1582,4.0,4,4,3,3,2
1582,1583,2.0,3,4,4,3,3
1583,1584,3.0,4,1,3,3,3
1584,1585,3.0,4,4,3,3,3
1585,1586,4.0,4,1,3,3,3
1586,1587,4.0,3,1,3,4,2
1587,1588,4.0,2,3,2,3,3
1588,1589,1.0,4,2,1,3,3
1589,1590,1.0,1,1,4,3,3
1590,1591,4.0,4,4,3,3,2
1591,1592,3.0,3,4,3,3,2
1592,1593,2.0,1,3,1,3,3
1593,1594,1.0,2,1,2,3,3
1594,1595,2.0,1,3,3,3,2
1595,1596,1.0,4,1,4,3,3
1596,1597,3.0,4,2,4,4,3
1597,1598,2.0,2,4,3,3,2
1598,1599,3.0,1,2,3,3,3
1599,1600,3.0,3,3,4,4,3
1600,1601,3.0,3,4,3,3,2
1601,1602,4.0,1,2,3,4,3
1602,1603,3.0,1,3,2,3,3
1603,1604,2.0,4,1,3,3,3
1604,1605,2.0,3,4,1,3,2
1605,1606,2.0,2,3,2,3,4
1606,1607,3.0,2,1,2,3,3
1607,1608,4.0,3,4,3,3,1
1608,1609,3.0,3,1,3,3,4
1609,1610,3.0,1,4,2,3,3
1610,1611,3.0,2,2,3,3,2
1611,1612,4.0,4,3,4,3,3
1612,1613,1.0,4,4,3,3,3
1613,1614,4.0,2,3,3,3,3
